nr_registro;marca_comercial;formulacao;ingrediente_ativo;titular_de_registro;classe;modo_de_acao;classe_toxicologica;classe_ambiental;organicos;situacao
44225;Eraser;CS - Suspensão de Encapsulado;clomazona (isoxazolidinona) (360 g/L);Maxunitech do Brasil Ltda;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
15224;"Eredità; Solenza; Orizzonte;";SC - Suspensão Concentrada;Protioconazol (Triazolinthione) (175 g/L) + trifloxistrobina (estrobilurina) (150 g/L);Perterra Insumos Agropecuários S.A.  São Paulo/SP;Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
45725;Ergatis;SL - Concentrado Solúvel;imazetapir (imidazolinona) (106 g/L);ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
4514;Erradicur;EC - Concentrado Emulsionável;tebuconazol (triazol) (200 g/L);Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Fungicida;sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
4426;Erradicur MAX;SC - Suspensão Concentrada;tebuconazol (triazol) (430 g/L);Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Fungicida;Sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
36321;"Erradik; Stiva;";EC - Concentrado Emulsionável;difenoconazol (triazol) (250 g/L);CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;Fungicida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
18923;"Esbrilha Mixx; Snooker; Trikill; Novox;";SE - Suspo-Emulsão;Atrazina (triazina) (120 g/L) + Mesotriona (Tricetona) (32 g/L) + S-metolacloro (cloroacetanilida) (320 g/L);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
34923;Escala 480 SL;SL - Concentrado Solúvel;glifosato-sal de isopropilamina (glicina substituída) (480 g/L);AllierBrasil Agro Ltda.;Herbicida;Sistêmico/Total;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
35125;Esfinge;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (481.93 g/L) + Aminopiralide (ácido piridiniloxialcanóico) (60.9 g/L);CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
10126;Esforço Xtra;WG - Grânulos Dispersíveis em Água;ciprodinil (anilinopirimidina) (375 g/kg) + fludioxonil (fenilpirrol) (250 g/kg);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
10526;Esifon;SL - Concentrado Solúvel;etefom (etileno (precursor de)) (480 g/L);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Regulador de Crescimento;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
